Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game;;Date;Visitor/Neutral;Result;;Date;Home/Neutral;Result
Mon, Oct 31, 2022;7:30p;Atlanta Hawks;109;Toronto Raptors;139;Box Score;;19,800;Scotiabank Arena;;season;;Mon, Oct 31, 2022;Atlanta Hawks;0;;Mon, Oct 31, 2022;Toronto Raptors;1
Mon, Oct 31, 2022;8:00p;Detroit Pistons;108;Milwaukee Bucks;110;Box Score;;17,341;Fiserv Forum;;season;;Mon, Oct 31, 2022;Detroit Pistons;0;;Mon, Oct 31, 2022;Milwaukee Bucks;1
Mon, Oct 31, 2022;9:00p;Memphis Grizzlies;105;Utah Jazz;121;Box Score;;18,206;Vivint Arena;;season;;Mon, Oct 31, 2022;Memphis Grizzlies;0;;Mon, Oct 31, 2022;Utah Jazz;1
Mon, Oct 31, 2022;10:30p;Houston Rockets;93;Los Angeles Clippers;95;Box Score;;14,887;Crypto.com Arena;;season;;Mon, Oct 31, 2022;Houston Rockets;0;;Mon, Oct 31, 2022;Los Angeles Clippers;1
Tue, Nov 1, 2022;7:30p;Chicago Bulls;108;Brooklyn Nets;99;Box Score;;17,732;Barclays Center;;season;;Tue, Nov 1, 2022;Chicago Bulls;1;;Tue, Nov 1, 2022;Brooklyn Nets;0
Tue, Nov 1, 2022;7:30p;Golden State Warriors;109;Miami Heat;116;Box Score;;19,600;Kaseya Center;;season;;Tue, Nov 1, 2022;Golden State Warriors;0;;Tue, Nov 1, 2022;Miami Heat;1
Tue, Nov 1, 2022;8:00p;Orlando Magic;108;Oklahoma City Thunder;116;Box Score;;13,109;Paycom Center;;season;;Tue, Nov 1, 2022;Orlando Magic;0;;Tue, Nov 1, 2022;Oklahoma City Thunder;1
Tue, Nov 1, 2022;10:00p;Minnesota Timberwolves;107;Phoenix Suns;116;Box Score;;17,071;Footprint Center;;season;;Tue, Nov 1, 2022;Minnesota Timberwolves;0;;Tue, Nov 1, 2022;Phoenix Suns;1
Wed, Nov 2, 2022;6:00p;Washington Wizards;121;Philadelphia 76ers;111;Box Score;;19,855;Wells Fargo Center;;season;;Wed, Nov 2, 2022;Washington Wizards;1;;Wed, Nov 2, 2022;Philadelphia 76ers;0
Wed, Nov 2, 2022;7:30p;Boston Celtics;113;Cleveland Cavaliers;114;Box Score;OT;19,432;Rocket Mortgage Fieldhouse;;season;;Wed, Nov 2, 2022;Boston Celtics;0;;Wed, Nov 2, 2022;Cleveland Cavaliers;1
Wed, Nov 2, 2022;7:30p;Sacramento Kings;107;Miami Heat;110;Box Score;;19,600;Kaseya Center;;season;;Wed, Nov 2, 2022;Sacramento Kings;0;;Wed, Nov 2, 2022;Miami Heat;1
Wed, Nov 2, 2022;7:30p;Atlanta Hawks;112;New York Knicks;99;Box Score;;19,812;Madison Square Garden (IV);;season;;Wed, Nov 2, 2022;Atlanta Hawks;1;;Wed, Nov 2, 2022;New York Knicks;0
Wed, Nov 2, 2022;8:00p;Charlotte Hornets;88;Chicago Bulls;106;Box Score;;17,886;United Center;;season;;Wed, Nov 2, 2022;Charlotte Hornets;0;;Wed, Nov 2, 2022;Chicago Bulls;1
Wed, Nov 2, 2022;8:00p;Los Angeles Clippers;109;Houston Rockets;101;Box Score;;15,860;Toyota Center;;season;;Wed, Nov 2, 2022;Los Angeles Clippers;1;;Wed, Nov 2, 2022;Houston Rockets;0
Wed, Nov 2, 2022;8:00p;Detroit Pistons;91;Milwaukee Bucks;116;Box Score;;17,341;Fiserv Forum;;season;;Wed, Nov 2, 2022;Detroit Pistons;0;;Wed, Nov 2, 2022;Milwaukee Bucks;1
Wed, Nov 2, 2022;8:00p;Toronto Raptors;143;San Antonio Spurs;100;Box Score;;12,155;AT&T Center;;season;;Wed, Nov 2, 2022;Toronto Raptors;1;;Wed, Nov 2, 2022;San Antonio Spurs;0
Wed, Nov 2, 2022;8:30p;Utah Jazz;100;Dallas Mavericks;103;Box Score;;19,877;American Airlines Center;;season;;Wed, Nov 2, 2022;Utah Jazz;0;;Wed, Nov 2, 2022;Dallas Mavericks;1
