Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Tue, Dec 27, 2022	7:30p	Houston Rockets	102	Boston Celtics	126	Box Score		19,156	TD Garden		
Tue, Dec 27, 2022	7:30p	Atlanta Hawks	114	Indiana Pacers	129	Box Score		16,738	Gainbridge Fieldhouse		
Tue, Dec 27, 2022	7:30p	Los Angeles Clippers	124	Toronto Raptors	113	Box Score		19,800	Scotiabank Arena		
Tue, Dec 27, 2022	8:00p	Phoenix Suns	125	Memphis Grizzlies	108	Box Score		18,239	FedEx Forum		
Tue, Dec 27, 2022	8:00p	San Antonio Spurs	114	Oklahoma City Thunder	130	Box Score		16,229	Paycom Center		
Tue, Dec 27, 2022	8:30p	New York Knicks	121	Dallas Mavericks	126	Box Score	OT	20,377	American Airlines Center		
Tue, Dec 27, 2022	10:00p	Charlotte Hornets	105	Golden State Warriors	110	Box Score		18,064	Chase Center		
Tue, Dec 27, 2022	10:00p	Denver Nuggets	113	Sacramento Kings	106	Box Score		17,937	Golden 1 Center		
Wed, Dec 28, 2022	7:00p	Orlando Magic	101	Detroit Pistons	121	Box Score		20,190	Little Caesars Arena		
Wed, Dec 28, 2022	7:00p	Phoenix Suns	102	Washington Wizards	127	Box Score		20,476	Capital One Arena		
Wed, Dec 28, 2022	7:30p	Brooklyn Nets	108	Atlanta Hawks	107	Box Score		18,030	State Farm Arena		
Wed, Dec 28, 2022	7:30p	Los Angeles Lakers	98	Miami Heat	112	Box Score		20,221	Kaseya Center		
Wed, Dec 28, 2022	8:00p	Milwaukee Bucks	113	Chicago Bulls	119	Box Score	OT	21,537	United Center		
Wed, Dec 28, 2022	8:00p	Minnesota Timberwolves	118	New Orleans Pelicans	119	Box Score		18,669	Smoothie King Center		
Wed, Dec 28, 2022	10:00p	Utah Jazz	107	Golden State Warriors	112	Box Score		18,064	Chase Center		
Wed, Dec 28, 2022	10:00p	Denver Nuggets	126	Sacramento Kings	127	Box Score		17,985	Golden 1 Center		
Thu, Dec 29, 2022	7:00p	Oklahoma City Thunder	113	Charlotte Hornets	121	Box Score		19,425	Spectrum Center		
Thu, Dec 29, 2022	7:00p	Cleveland Cavaliers	126	Indiana Pacers	135	Box Score		17,274	Gainbridge Fieldhouse		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Thu, Dec 29, 2022	7:30p	Los Angeles Clippers	110	Boston Celtics	116	Box Score		19,156	TD Garden		
Thu, Dec 29, 2022	7:30p	Memphis Grizzlies	119	Toronto Raptors	106	Box Score		19,800	Scotiabank Arena		
Thu, Dec 29, 2022	8:00p	New York Knicks	115	San Antonio Spurs	122	Box Score		18,354	AT&T Center		
Thu, Dec 29, 2022	8:30p	Houston Rockets	114	Dallas Mavericks	129	Box Score		20,307	American Airlines Center		
Fri, Dec 30, 2022	7:00p	Washington Wizards	119	Orlando Magic	100	Box Score		19,040	Amway Center		
Fri, Dec 30, 2022	7:30p	Los Angeles Lakers	130	Atlanta Hawks	121	Box Score		17,984	State Farm Arena		
Fri, Dec 30, 2022	7:30p	Phoenix Suns	104	Toronto Raptors	113	Box Score		19,800	Scotiabank Arena		
Fri, Dec 30, 2022	8:00p	Detroit Pistons	118	Chicago Bulls	132	Box Score		21,667	United Center		
Fri, Dec 30, 2022	8:00p	Minnesota Timberwolves	114	Milwaukee Bucks	123	Box Score		18,018	Fiserv Forum		
Fri, Dec 30, 2022	8:30p	Philadelphia 76ers	116	New Orleans Pelicans	127	Box Score		18,656	Smoothie King Center		
Fri, Dec 30, 2022	9:00p	Miami Heat	119	Denver Nuggets	124	Box Score		19,638	Ball Arena		
Fri, Dec 30, 2022	10:00p	Portland Trail Blazers	112	Golden State Warriors	118	Box Score		18,064	Chase Center		
Fri, Dec 30, 2022	10:00p	Utah Jazz	125	Sacramento Kings	126	Box Score		17,946	Golden 1 Center		
Sat, Dec 31, 2022	3:00p	Los Angeles Clippers	130	Indiana Pacers	131	Box Score		16,731	Gainbridge Fieldhouse		
Sat, Dec 31, 2022	7:00p	Cleveland Cavaliers	103	Chicago Bulls	102	Box Score		21,524	United Center		
Sat, Dec 31, 2022	7:00p	Brooklyn Nets	123	Charlotte Hornets	106	Box Score		19,386	Spectrum Center		
Sat, Dec 31, 2022	7:00p	New York Knicks	108	Houston Rockets	88	Box Score		18,055	Toyota Center		
